CASENO,OFFENSE_CAT,OFFENSE,EVENT_MONTH,EVENT_DAY,EVENT_YEAR,EVENT_TIME,CVLEGEND,EVENT_DOW,Day,BLKADDR,City,State,Latitude,Longitude
16050472,2ND RESPONSE,2ND RESPONSE,8,27,2016,0,NOISE VIOLATION,6,Saturday,2500 COLLEGE AVE,Berkeley,CA,37.865711,-122.25389
16059797,BURGLARY,BURGLARY AUTO,10,7,2016,22,BURGLARY - VEHICLE,5,Friday,1600 VIRGINIA ST,Berkeley,CA,37.875166,-122.280125
16057672,NARCOTICS,NARCOTICS,9,28,2016,21,DRUG VIOLATION,3,Wednesday,SECOND STREET & JONES ST,Berkeley,CA,37.874369,-122.304473
16046514,NARCOTICS,NARCOTICS,8,8,2016,1,DRUG VIOLATION,1,Monday,UNIVERSITY AVENUE & SEVENTH ST,Berkeley,CA,37.868142,-122.296589
16091068,THEFT,THEFT MISD. (UNDER $950),6,28,2016,10,LARCENY,2,Tuesday,2000 FIFTH ST,Berkeley,CA,37.867271,-122.298682
16091574,THEFT,THEFT MISD. (UNDER $950),9,13,2016,2,LARCENY,2,Tuesday,1000 CRAGMONT AVE,Berkeley,CA,37.891102,-122.265854
16057840,DISTURBANCE,DISTURBANCE,9,23,2016,16,DISORDERLY CONDUCT,5,Friday,1200 ASHBY AVE,Berkeley,CA,37.852211,-122.286336
16036703,VEHICLE THEFT,VEHICLE STOLEN,6,20,2016,16,MOTOR VEHICLE THEFT,1,Monday,900 CARLETON ST,Berkeley,CA,37.856948,-122.293014
16045301,THEFT,ROBBERY,8,1,2016,22,ROBBERY,1,Monday,CHANNING WAY & DANA ST,Berkeley,CA,37.866622,-122.26108
16090980,BURGLARY,BURGLARY AUTO,6,13,2016,15,BURGLARY - VEHICLE,1,Monday,1900 ADDISON ST,Berkeley,CA,37.870639,-122.272468
16041265,THEFT,THEFT MISD. (UNDER $950),7,13,2016,15,LARCENY,3,Wednesday,2500 TELEGRAPH AVE,Berkeley,CA,37.865002,-122.258751
16091026,THEFT,THEFT FELONY (OVER $950),6,20,2016,22,LARCENY,1,Monday,1200 GILMAN ST,Berkeley,CA,37.881003,-122.293212
16057823,BURGLARY,BURGLARY AUTO,9,29,2016,11,BURGLARY - VEHICLE,4,Thursday,1300 SAN PABLO AVE,Berkeley,CA,37.880262,-122.295809
16061418,SEXUAL ASSAULT,SEXUAL ASSAULT FEL.,10,16,2016,0,SEX CRIME,0,Sunday,2300 PIEDMONT AVE,Berkeley,CA,37.869839,-122.252365
16090993,BURGLARY,BURGLARY AUTO,6,16,2016,19,BURGLARY - VEHICLE,4,Thursday,2400 DURANT AVE,Berkeley,CA,37.867513,-122.26127
16041381,THEFT,THEFT MISD. (UNDER $950),7,11,2016,22,LARCENY,1,Monday,2800 COLLEGE AVE,Berkeley,CA,37.859988,-122.253339
16056965,ASSAULT/BATTERY,ASSAULT/BATTERY FEL.,9,25,2016,20,ASSAULT,0,Sunday,3200 KING ST,Berkeley,CA,37.850106,-122.273827
16051994,2ND RESPONSE,2ND RESPONSE,9,2,2016,23,NOISE VIOLATION,5,Friday,2300 PIEDMONT AVE,Berkeley,CA,37.869839,-122.252365
16091211,THEFT,THEFT MISD. (UNDER $950),7,8,2016,13,LARCENY,5,Friday,2400 CURTIS ST,Berkeley,CA,37.863099,-122.288255
16051151,DISTURBANCE,DISTURBANCE,8,29,2016,0,DISORDERLY CONDUCT,1,Monday,GILMAN STREET & EASTSHORE HWY,Berkeley,CA,37.878312,-122.306543
16091055,THEFT,THEFT MISD. (UNDER $950),6,23,2016,19,LARCENY,4,Thursday,TELEGRAPH AVENUE & DWIGHT WAY,Berkeley,CA,37.865121,-122.258455
16042057,BURGLARY,BURGLARY RESIDENTIAL,7,5,2016,0,BURGLARY - RESIDENTIAL,2,Tuesday,3000 STANTON ST,Berkeley,CA,37.853203,-122.279642
16056295,VEHICLE THEFT,VEHICLE STOLEN,9,23,2016,0,MOTOR VEHICLE THEFT,5,Friday,1300 ADA ST,Berkeley,CA,37.878244,-122.287239
16058600,BURGLARY,BURGLARY COMMERCIAL,9,18,2016,12,BURGLARY - COMMERCIAL,0,Sunday,600 HARRISON ST,Berkeley,CA,37.880163,-122.30676
16063710,GUN/WEAPON,GUN/WEAPON,10,27,2016,13,WEAPONS OFFENSE,4,Thursday,GILMAN STREET & FOURTH ST,Berkeley,CA,37.878915,-122.303521
16091404,THEFT,THEFT MISD. (UNDER $950),8,18,2016,11,LARCENY,4,Thursday,1400 STANNAGE AVE,Berkeley,CA,37.878963,-122.293446
16047191,THEFT,ROBBERY,8,8,2016,22,ROBBERY,1,Monday,1300 ASHBY AVE,Berkeley,CA,37.85274,-122.283711
16033296,DISTURBANCE,DISTURBANCE,6,6,2016,0,DISORDERLY CONDUCT,1,Monday,2600 MATHEWS ST,Berkeley,CA,37.85959,-122.28701
16056906,VEHICLE THEFT,VEHICLE STOLEN,9,24,2016,23,MOTOR VEHICLE THEFT,6,Saturday,600 SANTA ROSA AVE,Berkeley,CA,37.897322,-122.282376
16059602,BURGLARY,BURGLARY AUTO,10,6,2016,22,BURGLARY - VEHICLE,4,Thursday,1900 WALNUT ST,Berkeley,CA,37.872907,-122.266975
16058762,THEFT,THEFT FROM AUTO,10,3,2016,15,LARCENY - FROM VEHICLE,1,Monday,1600 ALCATRAZ AVE,Berkeley,CA,37.848152,-122.275807
16061944,DISTURBANCE,DISTURBANCE,10,6,2016,12,DISORDERLY CONDUCT,4,Thursday,2400 CEDAR ST,Berkeley,CA,37.87923,-122.262834
16046870,ALCOHOL OFFENSE,ALCOHOL OFFENSE,8,9,2016,20,LIQUOR LAW VIOLATION,2,Tuesday,2100 ALLSTON WAY,Berkeley,CA,37.86939,-122.267883
16037130,THEFT,THEFT MISD. (UNDER $950),6,22,2016,15,LARCENY,3,Wednesday,1800 FOURTH ST,Berkeley,CA,37.869944,-122.300636
16050415,DISTURBANCE,DISTURBANCE,8,24,2016,12,DISORDERLY CONDUCT,3,Wednesday,2800 FOREST AVE,Berkeley,CA,37.861541,-122.251156
16064268,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,10,30,2016,4,ASSAULT,0,Sunday,1600 SIXTY-SECOND ST,Berkeley,CA,37.872599,-122.303889
16062002,BURGLARY,BURGLARY RESIDENTIAL,10,16,2016,19,BURGLARY - RESIDENTIAL,0,Sunday,900 CRAGMONT AVE,Berkeley,CA,37.893829,-122.266249
16049445,VEHICLE THEFT,VEHICLE STOLEN,8,21,2016,19,MOTOR VEHICLE THEFT,0,Sunday,BENVENUE AVENUE & DERBY ST,Berkeley,CA,37.861718,-122.254748
16052947,DISTURBANCE,DISTURBANCE,9,7,2016,18,DISORDERLY CONDUCT,3,Wednesday,HARRISON STREET & SIXTH ST,Berkeley,CA,37.881142,-122.30191
16053723,DISTURBANCE,DISTURBANCE,9,11,2016,0,DISORDERLY CONDUCT,0,Sunday,DURANT AVENUE & TELEGRAPH AVE,Berkeley,CA,37.867816,-122.258994
16055867,BURGLARY,BURGLARY AUTO,9,20,2016,23,BURGLARY - VEHICLE,2,Tuesday,1700 HIGHLAND PL,Berkeley,CA,37.877482,-122.256109
16091698,BURGLARY,BURGLARY AUTO,10,1,2016,14,BURGLARY - VEHICLE,6,Saturday,1600 LE ROY AVE,Berkeley,CA,37.879831,-122.258843
16060182,DISTURBANCE,DISTURBANCE,10,9,2016,21,DISORDERLY CONDUCT,0,Sunday,2100 BLAKE ST,Berkeley,CA,37.863143,-122.266681
16051198,DISTURBANCE,DISTURBANCE,8,30,2016,9,DISORDERLY CONDUCT,2,Tuesday,2400 HILGARD AVE,Berkeley,CA,37.878373,-122.262902
16034842,THEFT,THEFT MISD. (UNDER $950),6,13,2016,6,LARCENY,1,Monday,HILLEGASS AVENUE & DWIGHT WAY,Berkeley,CA,37.865374,-122.256511
16050122,BURGLARY,BURGLARY RESIDENTIAL,8,25,2016,10,BURGLARY - RESIDENTIAL,4,Thursday,2000 ESSEX ST,Berkeley,CA,37.853552,-122.268286
16058536,BURGLARY,BURGLARY AUTO,10,1,2016,21,BURGLARY - VEHICLE,6,Saturday,2000 FOURTH ST,Berkeley,CA,37.867026,-122.299737
16054768,THEFT,THEFT MISD. (UNDER $950),9,15,2016,8,LARCENY,4,Thursday,2000 ALLSTON WAY,Berkeley,CA,37.869096,-122.270137
16091190,THEFT,THEFT MISD. (UNDER $950),7,18,2016,14,LARCENY,1,Monday,2100 SHATTUCK AVE,Berkeley,CA,37.871167,-122.268285
16032634,VANDALISM,VANDALISM,6,3,2016,3,VANDALISM,5,Friday,2000 DURANT AVE,Berkeley,CA,37.866426,-122.269762
16053044,THEFT,ROBBERY,9,8,2016,5,ROBBERY,4,Thursday,ADDISON STREET & CALIFORNIA ST,Berkeley,CA,37.868893,-122.286229
16091466,THEFT,THEFT MISD. (UNDER $950),8,27,2016,12,LARCENY,6,Saturday,1800 HEARST AVE,Berkeley,CA,37.873025,-122.275438
16058118,VEHICLE THEFT,VEHICLE STOLEN,9,30,2016,19,MOTOR VEHICLE THEFT,5,Friday,1500 SIXTY-THIRD ST,Berkeley,CA,37.874149,-122.303055
16056095,VEHICLE THEFT,VEHICLE STOLEN,9,22,2016,0,MOTOR VEHICLE THEFT,4,Thursday,1000 CRAGMONT AVE,Berkeley,CA,37.891102,-122.265854
16052863,THEFT,THEFT MISD. (UNDER $950),9,7,2016,10,LARCENY,3,Wednesday,2500 ASHBY AVE,Berkeley,CA,37.856599,-122.256451
16091850,BURGLARY,BURGLARY AUTO,10,25,2016,11,BURGLARY - VEHICLE,2,Tuesday,100 SEAWALL DR,Berkeley,CA,37.863611,-122.317566
16051415,ARSON,ARSON,8,31,2016,9,ARSON,3,Wednesday,2700 HASTE ST,Berkeley,CA,37.866568,-122.254084
16047966,THEFT,ROBBERY,8,14,2016,21,ROBBERY,0,Sunday,ROSE STREET & CALIFORNIA ST,Berkeley,CA,37.879709,-122.280817
16041842,BURGLARY,BURGLARY AUTO,7,16,2016,11,BURGLARY - VEHICLE,6,Saturday,ALLSTON WAY & MCKINLEY AVE,Berkeley,CA,37.86939,-122.267883
16045970,VANDALISM,VANDALISM,8,4,2016,18,VANDALISM,4,Thursday,2700 TENTH ST,Berkeley,CA,37.857754,-122.289737
16091153,BURGLARY,BURGLARY AUTO,7,12,2016,16,BURGLARY - VEHICLE,2,Tuesday,1100 UNIVERSITY AVE,Berkeley,CA,37.869151,-122.291342
16091768,THEFT,THEFT MISD. (UNDER $950),10,13,2016,18,LARCENY,4,Thursday,2945 DOHR ST,Berkeley,CA,37.853436,-122.280884
16062716,THEFT,THEFT MISD. (UNDER $950),10,22,2016,15,LARCENY,6,Saturday,1900 UNIVERSITY AVE,Berkeley,CA,37.871544,-122.272714
16091217,BURGLARY,BURGLARY AUTO,7,22,2016,0,BURGLARY - VEHICLE,5,Friday,2900 WHEELER ST,Berkeley,CA,37.856876,-122.264826
16091645,BURGLARY,BURGLARY AUTO,8,30,2016,11,BURGLARY - VEHICLE,2,Tuesday,1800 CHANNING WAY,Berkeley,CA,37.864872,-122.274587
16051232,BURGLARY,BURGLARY RESIDENTIAL,8,29,2016,18,BURGLARY - RESIDENTIAL,1,Monday,1800 WEST ST,Berkeley,CA,37.872468,-122.286902
16061782,VEHICLE THEFT,VEHICLE STOLEN,10,3,2016,12,MOTOR VEHICLE THEFT,1,Monday,ROSE STREET & CURTIS ST,Berkeley,CA,37.876612,-122.290921
16048666,THEFT,THEFT MISD. (UNDER $950),8,18,2016,14,LARCENY,4,Thursday,2300 SHATTUCK AVE,Berkeley,CA,37.867176,-122.267802
16058014,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,9,29,2016,12,ASSAULT,4,Thursday,1900 UNIVERSITY AVE,Berkeley,CA,37.871544,-122.272714
16038459,VANDALISM,VANDALISM,6,29,2016,16,VANDALISM,3,Wednesday,2000 SAN PABLO AVE,Berkeley,CA,37.868845,-122.29214
16053194,BURGLARY,BURGLARY AUTO,9,8,2016,21,BURGLARY - VEHICLE,4,Thursday,1800 SAN PABLO AVE,Berkeley,CA,37.871402,-122.292965
16043966,THEFT,THEFT MISD. (UNDER $950),7,26,2016,14,LARCENY,2,Tuesday,2800 PARK ST,Berkeley,CA,37.855964,-122.283114
16031804,THEFT,THEFT MISD. (UNDER $950),5,30,2016,9,LARCENY,1,Monday,2100 CENTER ST,Berkeley,CA,37.870308,-122.26805
16052181,ALCOHOL OFFENSE,ALCOHOL OFFENSE,9,3,2016,19,LIQUOR LAW VIOLATION,6,Saturday,ELMWOOD AVENUE & PIEDMONT AVE,Berkeley,CA,37.856807,-122.250623
16045648,DOMESTIC VIOLENCE,DOMESTIC VIOLENCE,8,3,2016,17,FAMILY OFFENSE,3,Wednesday,900 UNIVERSITY AVE,Berkeley,CA,37.868273,-122.295963
16062877,THEFT,THEFT MISD. (UNDER $950),10,23,2016,9,LARCENY,0,Sunday,2000 UNIVERSITY AVE,Berkeley,CA,37.871828,-122.270516
16051372,GUN/WEAPON,GUN/WEAPON,8,31,2016,2,WEAPONS OFFENSE,3,Wednesday,WEST STREET & BERKELEY WAY,Berkeley,CA,37.870592,-122.286613
16051087,VANDALISM,VANDALISM,8,27,2016,11,VANDALISM,6,Saturday,2100 SEVENTH ST,Berkeley,CA,37.866936,-122.296218
16063474,THEFT,THEFT FROM AUTO,10,26,2016,9,LARCENY - FROM VEHICLE,3,Wednesday,1600 TYLER ST,Berkeley,CA,37.852683,-122.276556
16052866,VEHICLE THEFT,VEHICLE STOLEN,9,6,2016,16,MOTOR VEHICLE THEFT,2,Tuesday,1900 FOURTH ST,Berkeley,CA,37.868281,-122.300102
16039023,ALCOHOL OFFENSE,ALCOHOL OFFENSE,7,2,2016,3,LIQUOR LAW VIOLATION,6,Saturday,UNIVERSITY AVENUE & SIXTH ST,Berkeley,CA,37.867926,-122.297664
16049814,THEFT,THEFT FROM PERSON,8,23,2016,23,LARCENY,2,Tuesday,DWIGHT WAY & REGENT ST,Berkeley,CA,37.865202,-122.257795
16091286,IDENTITY THEFT,IDENTITY THEFT,7,30,2016,8,FRAUD,6,Saturday,2400 CHANNING WAY,Berkeley,CA,37.866622,-122.26108
16045788,BURGLARY,BURGLARY AUTO,8,3,2016,20,BURGLARY - VEHICLE,3,Wednesday,200 UNIVERSITY AVE,Berkeley,CA,37.865491,-122.310065
16064481,VEHICLE THEFT,VEHICLE STOLEN,10,28,2016,18,MOTOR VEHICLE THEFT,5,Friday,2900 ASHBY AVE,Berkeley,CA,37.857869,-122.248398
16058154,ALCOHOL OFFENSE,ALCOHOL OFFENSE,9,30,2016,21,LIQUOR LAW VIOLATION,5,Friday,CHANNING WAY & DANA ST,Berkeley,CA,37.866622,-122.26108
16039143,DISTURBANCE,DISTURBANCE,7,2,2016,17,DISORDERLY CONDUCT,6,Saturday,DERBY STREET & HILLEGASS AVE,Berkeley,CA,37.861661,-122.256169
